commit,date,file_type,path,package,project,added_lines,commit_size,commit_msg,change_type,commit_index,month
0a3a6732931a5582d0d9f0a2a1ab8f76efe92623,2017-01-20 14:26:17,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,0,1,"Removed ""@since"" tags.",MODIFY,14,2017-01
d5937fa66ddcc3a300e86a788cf252466e402230,2017-01-21 11:03:35,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,3,1,Declaration order (CheckStyle).,MODIFY,15,2017-01
fed45c3b1bfe61819655974f2baf5526a1c3c8f9,2017-01-21 11:06:40,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,22,1,No tabs.,MODIFY,16,2017-01
473b2384d2776f1f10e8cd500635cf1dd0ebd1c6,2017-01-21 11:17:50,prod,commons-numbers-core/src/main/java/org/apache/commons/numbers/core/package-info.java,org/apache/commons/numbers/core,commons-numbers-core,20,1,"Added ""package-info"" file (CheckStyle).",ADD,17,2017-01
015c52c1393bdad2e78120b0ba1ce8e083ecf803,2017-01-21 11:18:00,prod,commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Quaternion.java,org/apache/commons/numbers/quaternion,commons-numbers-quaternion,1,1,No tabs.,MODIFY,18,2017-01
c12828547e579e83f21824bc36ae202d579463ef,2017-01-21 11:18:00,prod,commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Quaternion.java,org/apache/commons/numbers/quaternion,commons-numbers-quaternion,5,1,Declaration order (CheckStyle).,MODIFY,19,2017-01
4d701754800b2e189b3f1850d797ae9143c4a6d0,2017-01-21 18:34:27,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,6,1,Javadoc.,MODIFY,20,2017-01
4094c82a9f6c55c03814f648b4b43c5f7e5d0425,2017-01-21 18:34:40,test,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/ComplexTest.java,org/apache/commons/numbers/complex,commons-numbers-complex,9,1,Unit test.,MODIFY,21,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-core/src/main/java/org/apache/commons/numbers/core/ArithmeticUtils.java,org/apache/commons/numbers/core,commons-numbers-core,772,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-core/src/main/java/org/apache/commons/numbers/core/NumbersArithmeticException.java,org/apache/commons/numbers/core,commons-numbers-core,54,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/ArithmeticUtilsTest.java,org/apache/commons/numbers/core,commons-numbers-core,782,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/AbstractFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,206,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFraction.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,1199,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFractionField.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,83,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFractionFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,283,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
